datetime,surface_pressure,surface_skin_temperature,u_10,v_10,u_50,v_50,temp_2m,temp_10m,u_850,v_850,temp_850,ws_50m,dens_50m
2013-12-31 00:30:00,98229.516,271.7599,0.5145,4.7838616,0.90791404,7.6032963,272.27237,272.55542,4.556939,5.784619,273.67184,7.657311704,1.255374951
2013-12-31 01:30:00,98213.34,271.62604,0.6001718,5.057499,0.99596405,7.45707,271.98474,272.17426,4.3168073,6.55401,273.97687,7.523286341,1.256521807
2013-12-31 02:30:00,98171.65,271.3164,0.16403231,5.149513,0.3069839,7.341496,271.60248,271.7516,4.1089425,7.1057343,274.3324,7.347911447,1.257790006
2013-12-31 03:30:00,98107.086,271.11368,-0.5676232,5.312094,-0.7051251,7.409171,271.37625,271.50674,3.930125,7.459058,274.70215,7.442648474,1.25802976
2013-12-31 04:30:00,98046.26,270.8894,-1.028518,5.3841867,-1.3526045,7.510351,271.21353,271.36417,3.8755562,7.583107,275.03876,7.631180189,1.258017476
2013-12-31 05:30:00,98000.875,271.0005,-1.0297587,5.3980193,-1.3240868,7.8201947,271.34763,271.54053,4.0673923,7.4886656,275.30804,7.9314974,1.256801366
2013-12-31 06:30:00,97975.05,271.59232,-0.52447665,5.8874903,-0.5833717,8.749051,272.06616,272.32895,4.081174,7.393241,275.5059,8.768478542,1.253087113
2013-12-31 07:30:00,97935.12,271.89838,-0.27423263,6.086762,-0.26056057,9.075964,272.43536,272.7314,4.057783,7.477257,275.80258,9.079703428,1.250844183
2013-12-31 08:30:00,97906.26,273.18985,-0.22282541,6.629178,-0.16813481,9.068637,273.3169,273.46796,4.1524615,7.68829,276.15466,9.070195497,1.246357322
2013-12-31 09:30:00,97867.81,275.1302,-0.27100635,6.842077,-0.20581138,8.628276,274.81006,274.78488,4.327467,8.100386,276.50058,8.630730274,1.238944232
2013-12-31 10:30:00,97805.625,277.0913,-0.20460546,6.756782,-0.10170877,8.462547,276.53204,276.3979,4.7969456,8.479858,276.79007,8.463158181,1.230250882
2013-12-31 11:30:00,97714.77,278.2949,-0.008553028,7.082446,0.23204434,8.929689,277.79303,277.63925,5.497827,8.815372,276.9602,8.93270341,1.22337086
2013-12-31 12:30:00,97622.96,278.65262,0.4829806,7.2751493,0.83066916,9.288625,278.42917,278.3469,5.9785624,9.1256695,277.0504,9.325693842,1.21934361
2013-12-31 13:30:00,97535.18,278.2023,0.12759638,6.5868216,0.28320718,8.61139,278.39493,278.43817,6.0230103,9.561974,277.2372,8.616045731,1.218399714
2013-12-31 14:30:00,97479.69,276.7601,-0.32316333,5.9911404,-0.38061523,8.738551,277.4993,277.75195,5.893416,10.148956,277.49106,8.746836087,1.221752131
2013-12-31 15:30:00,97442.83,275.4471,-0.7078255,5.8138943,-1.0329059,8.955783,276.32117,276.70355,5.9783545,10.462581,277.692,9.015150789,1.226640848
2013-12-31 16:30:00,97420.84,275.17636,-0.9475113,6.3005857,-1.289947,9.255518,275.858,276.18985,6.3389673,10.226352,277.6583,9.344976014,1.228476651
2013-12-31 17:30:00,97415.61,275.1568,-0.7659981,6.6531606,-0.91681993,9.563888,275.74167,276.01804,7.0801315,9.7657795,277.27524,9.60773191,1.228942156
2013-12-31 18:30:00,97400.58,274.97787,-0.27659404,6.72675,-0.07121244,9.857921,275.61148,275.9084,8.223548,9.559321,276.66827,9.858178212,1.229347479
2013-12-31 19:30:00,97398.32,274.71036,-0.048564613,6.6051035,0.112798244,9.483454,275.347,275.62753,9.4619055,9.865041,276.0048,9.4841248,1.230529414
2013-12-31 20:30:00,97373.96,274.65417,0.3931495,6.5020523,0.74158096,9.242011,275.17792,275.428,10.613925,10.08835,275.3242,9.271715572,1.230995844
2013-12-31 21:30:00,97378.09,274.75113,1.1901295,6.6625447,1.8267865,9.198096,275.17633,275.38348,11.617777,8.93562,274.70068,9.377745941,1.231055418
2013-12-31 22:30:00,97361.73,274.74426,1.9351661,6.839673,2.7569435,9.102356,275.0098,275.11285,14.046603,6.064796,274.57043,9.51071092,1.231611903
2013-12-31 23:30:00,97355.44,274.80914,3.0338168,6.2472043,4.495497,8.176769,274.88733,274.96683,15.519772,4.086664,274.3898,9.331079496,1.232094227
2014-01-01 00:30:00,97342.414,275.59927,5.061966,5.452035,7.2431917,7.300003,275.86664,276.02155,14.285447,4.2447653,273.94592,10.28367006,1.2274468
2014-01-01 01:30:00,97355.72,275.8213,4.0517435,4.9992676,5.6219373,6.8662715,276.16763,276.33078,12.973888,5.0753565,273.40494,8.87422466,1.226242013
2014-01-01 02:30:00,97366.7,275.73825,3.2980716,4.6485076,4.6905384,6.4117813,276.10602,276.2724,12.832554,5.040908,273.02692,7.944311797,1.226661365
2014-01-01 03:30:00,97372.27,275.9458,3.428339,4.5747547,5.1590686,6.4315023,276.27216,276.44913,12.683093,5.001198,272.71793,8.245011259,1.225974485
2014-01-01 04:30:00,97397.79,276.3654,3.4575133,4.4996834,5.060063,6.4077516,276.69727,276.8699,12.151639,5.649193,272.3172,8.164772999,1.224361617
2014-01-01 05:30:00,97408.83,276.55887,2.8625698,4.5488014,4.2475257,6.5554814,276.90414,277.07684,11.364189,6.7350254,271.98172,7.811261803,1.223560702
2014-01-01 06:30:00,97427.76,276.54242,2.2630575,4.6754174,3.4034214,6.7649794,276.9067,277.07953,10.86793,7.7171445,271.87704,7.572860986,1.223787232
2014-01-01 07:30:00,97437.66,276.49014,1.8502094,5.0184307,2.8366556,7.2221456,276.854,277.02826,10.701183,8.728426,272.04947,7.759252674,1.224151188
2014-01-01 08:30:00,97449.734,276.86765,1.4074683,5.55624,2.1469393,7.643599,277.0239,277.1264,10.698395,9.819124,272.32034,7.939392548,1.223531452
2014-01-01 09:30:00,97412.125,277.33508,1.0511307,5.9164534,1.5106794,7.672698,277.34518,277.3733,11.075172,10.951183,272.55078,7.820002995,1.221601802
2014-01-01 10:30:00,97356.5,277.76758,0.5741202,5.968481,0.94483304,7.6387167,277.65286,277.62662,12.148159,11.822332,272.80463,7.696928108,1.219511234
2014-01-01 11:30:00,97282.01,278.49646,0.5333389,6.366816,0.9135182,8.01971,278.2226,278.14795,13.415016,12.21784,273.21115,8.071571346,1.216007264
2014-01-01 12:30:00,97212.83,279.35138,0.4850359,6.825772,0.8172776,8.471504,278.94952,278.82574,13.670229,12.286017,273.65366,8.510835605,1.211876423
2014-01-01 13:30:00,97134.125,279.53815,0.2425304,7.083172,0.46957302,8.852488,279.3789,279.30814,12.837166,12.732058,274.16876,8.864933311,1.208972487
2014-01-01 14:30:00,97076.25,278.79016,-0.078214645,6.8087597,0.043571115,9.062706,279.16187,279.27045,11.966062,13.855461,274.69342,9.062810739,1.209220695
