time_utc,net_energy_kwh,availability_kwh,curtailment_kwh
2014-01-01 00:00:00+00:00,369.726,0,0
2014-01-01 00:10:00+00:00,376.409,0,0
2014-01-01 00:20:00+00:00,309.199,0,0
2014-01-01 00:30:00+00:00,350.176,0,0
2014-01-01 00:40:00+00:00,286.333,0,0
2014-01-01 00:50:00+00:00,331.448,0,0
2014-01-01 01:00:00+00:00,336.102,0,0
2014-01-01 01:10:00+00:00,327.712,0,0
2014-01-01 01:20:00+00:00,330.418,0,0
2014-01-01 01:30:00+00:00,418.751,0,0
2014-01-01 01:40:00+00:00,378.559,0,0
2014-01-01 01:50:00+00:00,270.975,0,0
2014-01-01 02:00:00+00:00,286.11,0,0
2014-01-01 02:10:00+00:00,308.711,0,0
2014-01-01 02:20:00+00:00,290.087,0,0
2014-01-01 02:30:00+00:00,250.623,0,0
2014-01-01 02:40:00+00:00,256.717,0,0
2014-01-01 02:50:00+00:00,229.193,0,0
2014-01-01 03:00:00+00:00,198.693,0,0
2014-01-01 03:10:00+00:00,177.163,0,0
2014-01-01 03:20:00+00:00,165.578,0,0
2014-01-01 03:30:00+00:00,190.1,0,0
2014-01-01 03:40:00+00:00,147.346,0,0
2014-01-01 03:50:00+00:00,213.482,0,0
2014-01-01 04:00:00+00:00,275.052,0,0
2014-01-01 04:10:00+00:00,310.404,0,0
2014-01-01 04:20:00+00:00,277.34,0,0
2014-01-01 04:30:00+00:00,309.186,0,0
2014-01-01 04:40:00+00:00,325.05,0,0
2014-01-01 04:50:00+00:00,344.861,0,0
2014-01-01 05:00:00+00:00,325.126,0,0
2014-01-01 05:10:00+00:00,267.315,0,0
2014-01-01 05:20:00+00:00,293.941,0,0
2014-01-01 05:30:00+00:00,300.675,0,0
2014-01-01 05:40:00+00:00,308.292,0,0
2014-01-01 05:50:00+00:00,273.462,0,0
2014-01-01 06:00:00+00:00,276.296,0,0
2014-01-01 06:10:00+00:00,265.913,0,0
2014-01-01 06:20:00+00:00,197.086,0,0
2014-01-01 06:30:00+00:00,226.572,0,0
2014-01-01 06:40:00+00:00,259.202,0,0
2014-01-01 06:50:00+00:00,275.611,0,0
2014-01-01 07:00:00+00:00,192.893,0,0
2014-01-01 07:10:00+00:00,198.992,0,0
2014-01-01 07:20:00+00:00,202.757,0,0
2014-01-01 07:30:00+00:00,174.862,0,0
2014-01-01 07:40:00+00:00,163.918,0,0
2014-01-01 07:50:00+00:00,170.461,0,0
2014-01-01 08:00:00+00:00,149.343,0,0
2014-01-01 08:10:00+00:00,188.933,0,0
2014-01-01 08:20:00+00:00,156.56,22.4414569,0
2014-01-01 08:30:00+00:00,134.403,0,0
2014-01-01 08:40:00+00:00,122.971,0,0
2014-01-01 08:50:00+00:00,151.248,0,0
2014-01-01 09:00:00+00:00,251.048,0,0
2014-01-01 09:10:00+00:00,300.557,0,0
2014-01-01 09:20:00+00:00,278.973,0,0
2014-01-01 09:30:00+00:00,202.728,0,0
2014-01-01 09:40:00+00:00,192.283,0,0
2014-01-01 09:50:00+00:00,209.798,0,0
2014-01-01 10:00:00+00:00,202.629,0,0
2014-01-01 10:10:00+00:00,227.011,0,0
2014-01-01 10:20:00+00:00,306.44,0,0
2014-01-01 10:30:00+00:00,354.236,0,0
2014-01-01 10:40:00+00:00,261.913,0,0
2014-01-01 10:50:00+00:00,360.983,0,0
2014-01-01 11:00:00+00:00,434.373,0,0
2014-01-01 11:10:00+00:00,375.366,0,0
2014-01-01 11:20:00+00:00,359.704,0,0
2014-01-01 11:30:00+00:00,389.571,0,0
2014-01-01 11:40:00+00:00,396.893,0,0
2014-01-01 11:50:00+00:00,324.291,0,0
2014-01-01 12:00:00+00:00,347.292,0,0
2014-01-01 12:10:00+00:00,361.296,0,0
2014-01-01 12:20:00+00:00,399.873,0,0
2014-01-01 12:30:00+00:00,510.964,0,0
2014-01-01 12:40:00+00:00,448.236,0,0
2014-01-01 12:50:00+00:00,418.41,0,0
2014-01-01 13:00:00+00:00,502.14,0,0
2014-01-01 13:10:00+00:00,481.771,0,0
2014-01-01 13:20:00+00:00,487.979,0,0
2014-01-01 13:30:00+00:00,505.578,0,0
2014-01-01 13:40:00+00:00,549.017,0,0
2014-01-01 13:50:00+00:00,446.732,0,0
2014-01-01 14:00:00+00:00,487.015,0,0
2014-01-01 14:10:00+00:00,488.267,0,0
2014-01-01 14:20:00+00:00,460.032,0,0
2014-01-01 14:30:00+00:00,403.773,0,0
2014-01-01 14:40:00+00:00,467.55,0,0
2014-01-01 14:50:00+00:00,494.968,0,0
2014-01-01 15:00:00+00:00,562.653,0,0
2014-01-01 15:10:00+00:00,702.317,0,0
2014-01-01 15:20:00+00:00,616.419,0,0
2014-01-01 15:30:00+00:00,769.745,0,0
2014-01-01 15:40:00+00:00,787.827,0,0
2014-01-01 15:50:00+00:00,738.374,0,0
2014-01-01 16:00:00+00:00,730.683,0,0
2014-01-01 16:10:00+00:00,761.398,0,0
2014-01-01 16:20:00+00:00,889.546,0,0
2014-01-01 16:30:00+00:00,882.509,0,0
2014-01-01 16:40:00+00:00,852.233,0,0
2014-01-01 16:50:00+00:00,858.808,0,0
2014-01-01 17:00:00+00:00,739.916,0,0
2014-01-01 17:10:00+00:00,675.514,0,0
2014-01-01 17:20:00+00:00,652.93,0,0
2014-01-01 17:30:00+00:00,726.405,0,0
2014-01-01 17:40:00+00:00,734.314,0,0
2014-01-01 17:50:00+00:00,676.835,0,0
2014-01-01 18:00:00+00:00,691.784,0,0
2014-01-01 18:10:00+00:00,723.997,0,0
2014-01-01 18:20:00+00:00,668.986,0,0
2014-01-01 18:30:00+00:00,724.246,0,0
2014-01-01 18:40:00+00:00,600.9,0,0
2014-01-01 18:50:00+00:00,499.951,0,0
2014-01-01 19:00:00+00:00,499.64,0,0
2014-01-01 19:10:00+00:00,459.514,0,0
2014-01-01 19:20:00+00:00,471.226,0,0
2014-01-01 19:30:00+00:00,624.226,0,0
2014-01-01 19:40:00+00:00,663.334,0,0
2014-01-01 19:50:00+00:00,673.967,0,0
2014-01-01 20:00:00+00:00,877.275,0,0
2014-01-01 20:10:00+00:00,959.566,0,0
2014-01-01 20:20:00+00:00,1020.2,0,0
2014-01-01 20:30:00+00:00,989.754,0,0
2014-01-01 20:40:00+00:00,1006.572,0,0
